"",Unnamed: 0,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,profit\\r
7685,7685,271674,Suite Française,2015-03-12,"['Drama', 'Romance', 'War']",English,7.3,1040,14.394,"France, 1940. In the first days of occupation, beautiful Lucile Angellier is trapped in a stifled existence with her controlling mother-in-law as they both await news of her husband: a prisoner of...",15000000,"['TF1 Droits Audiovisuels', 'SCOPE Pictures', 'Canal+', 'Entertainment One']",9104716,103,Forced to host the enemy. Tormented by intruders. Tempted by desire.,-5895284
7686,7686,13960,ATL,2006-03-31,"['Drama', 'Comedy', 'Mystery']",English,7.0,135,14.392,"As four friends prepare for life after high school, different challenges bring about turning points in each of their lives. The dramas unfold and resolve at their local rollerskating rink, Cascade.",20000000,['Warner Bros. Pictures'],21170563,105,A New American Story,1170563
7687,7687,508664,Danger Close: The Battle of Long Tan,2019-08-08,"['War', 'Action', 'Drama', 'History']",English,6.9,265,14.390,"Vietnam War, 1966. Australia and New Zealand send troops to support the United States and South Vietnamese in their fight against the communist North. Soldiers are very young men, recruits and vol...",23934823,"['Red Dune Films', 'Full Clip Productions', 'Deeper Water Films', 'Sunjive Studios', 'THN Nominees', 'Hoosegow Productions', 'Ingenious Media']",2078370,119,Outnumbered. Outgunned. Never out of courage,-21856453
7688,7688,9037,Grease 2,1982-06-11,"['Comedy', 'Music', 'Romance']",English,5.1,608,14.390,"It's 1961, two years after the original Grease gang graduated, and there's a new crop of seniors and new members of the coolest cliques on campus, the Pink Ladies and T-Birds. Michael Carrington i...",13200000,['Paramount'],15171476,115,The Music and Feeling go on Forever.,1971476
7693,7693,465136,Every Day,2018-02-22,"['Fantasy', 'Romance']",English,7.2,2080,14.387,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, ...",4900000,"['FilmWave', 'Likely Story', 'Silver Reel']",10421847,97,Every day a different body. Every day a different life. Every day in love with the same girl.,5521847
7697,7697,335791,When the Bough Breaks,2016-09-09,"['Mystery', 'Thriller', 'Drama', 'Horror']",English,5.9,359,14.385,A surrogate mother harbors a deadly secret desire for a family of her own with the husband who is expecting to raise her child.,10000000,"['Unique Features', 'Screen Gems']",30658387,97,She's carrying more than just a secret.,20658387
7698,7698,11026,Exorcist: The Beginning,2004-08-20,"['Horror', 'Mystery', 'Thriller']",English,5.4,675,14.385,"Having lived through traumatizing events during WWII, Father Lankester Merrin takes a sabbatical from the Church to conduct archaeological excavations in British-administered East Africa. Merrin u...",80000000,"['Dominion Productions', 'Morgan Creek']",78000586,114,Go back to where the horror began.,-1999414
7700,7700,25748,Children of the Corn II: The Final Sacrifice,1992-01-29,['Horror'],English,4.8,190,14.383,"When a tabloid reporter and his son travel to a quiet Midwestern town to investigate a gruesome massacre, they fall victim to a possessed orphan named Micah.",900000,"['Fifth Avenue Entertainment', 'Corn Cobb Productions', 'Dimension Films']",6980986,92,These children are home alone too. But their parents are never coming back.,6080986
7701,7701,11165,Tora! Tora! Tora!,1970-01-26,"['Drama', 'History', 'War']",English,7.2,452,14.383,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words use by the ...",25485000,['20th Century Fox'],37150000,144,The incredible attack on Pearl Harbor.,11665000
7703,7703,313943,Revolt,2017-07-01,"['Science Fiction', 'Action']",English,5.4,309,14.381,"The story of humankind's last stand against a cataclysmic alien invasion. Set in the war-ravaged African countryside, a U.S. soldier and a French foreign aid worker team up to survive the alien on...",4000000,"['Automatik Entertainment', 'Tea Shop & Film Company', 'Movie Power', 'Voltage Pictures', '42']",24416,87,NaN,-3975584
7704,7704,122857,Universal Soldier: Day of Reckoning,2012-10-04,"['Action', 'Science Fiction', 'Thriller']",English,5.5,372,14.381,"After his wife and daughter are murdered in a home invasion, a widower named John now finds himself up against an army of Universal Soldiers in relentless pursuit, led by a mysterious leader who p...",11500000,"['Signature Pictures', 'Foresight Unlimited', 'Baumgarten Management and Productions (BMP)']",1402307,114,Under their own command,-10097693
7706,7706,7516,Smokin' Aces,2006-12-09,"['Action', 'Comedy', 'Crime', 'Thriller']",English,6.5,1443,14.380,"When a Las Vegas performer-turned-snitch named Buddy Israel decides to turn state's evidence and testify against the mob, it seems that a whole lot of people would like to make sure he's no longer...",17000000,"['Universal Pictures', 'Working Title Films', 'StudioCanal', 'Relativity Media', 'Scion Films']",57103895,109,Nobody gets away clean.,40103895
7708,7708,10640,Futureworld,1976-08-13,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",English,6.0,258,14.379,"Two years after the Westworld tragedy in the Delos amusement park, the corporate owners have reopened the park following over $1 billion in safety and other improvements. For publicity purposes, r...",2500000,['American International Pictures'],4200000,107,Where the only way to survive is to kill yourself,1700000
7714,7714,45657,The Ward,2010-09-13,"['Horror', 'Thriller']",English,5.8,1088,14.374,"Kristen, a troubled young woman, is captured by the police after burning down a farmhouse and is locked in the North Bend Psychiatric Hospital. Soon, she begins to suspect that the place has a dar...",10000000,"['FilmNation Entertainment', 'Premiere Picture', 'A Bigger Boat', 'North by Northwest Entertainment', 'Echo Lake Entertainment']",5343820,88,Only Sanity Can Keep You Alive!,-4656180
7718,7718,9540,Dead Ringers,1988-09-23,"['Thriller', 'Horror']",English,7.1,737,14.372,"Elliot, a successful gynecologist, works at the same practice as his identical twin, Beverly. Elliot is attracted to many of his patients and has affairs with them. When he inevitably loses intere...",13000000,"['Morgan Creek', 'Mantle Clinic II', 'Téléfilm Canada', '20th Century Fox']",8038508,115,Two bodies. Two minds. One soul.,-4961492
7720,7720,21301,Barbershop 2: Back in Business,2004-01-20,"['Comedy', 'Drama']",English,5.9,226,14.371,"The continuing adventures of the barbers at Calvin's Barbershop. Gina, a stylist at the beauty shop next door, is now trying to cut in on his business. Calvin is again struggling to keep his fathe...",18000000,"['Metro-Goldwyn-Mayer', 'Cube Vision']",65070412,106,Let your hair down.,47070412
7721,7721,11206,Wait Until Dark,1967-10-26,"['Crime', 'Thriller']",English,7.3,446,14.371,"After a flight back home, Sam Hendrix returns with a doll he innocently acquired along the way. As it turns out, the doll is actually stuffed with heroin, and a group of criminals led by the ruthl...",4000000,['Warner Bros. Pictures'],11000000,108,A blind woman plays a deadly game of survival.,7000000
7722,7722,10782,Basic,2003-04-18,"['Action', 'Drama', 'Mystery', 'Thriller', 'Crime']",English,6.5,912,14.371,A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,50000000,"['Intermedia Films', 'Krane Entertainment', 'Phoenix Pictures']",42792561,98,Deception is their most deadly weapon.,-7207439
7724,7724,3036,Mary Shelley's Frankenstein,1994-11-04,"['Drama', 'Horror', 'Science Fiction', 'Romance']",English,6.4,1071,14.370,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with b...",45000000,"['American Zoetrope', 'TriStar Pictures']",112006296,123,Be warned.,67006296
7729,7729,145220,Muppets Most Wanted,2014-03-20,"['Comedy', 'Adventure', 'Crime', 'Family']",English,6.3,734,14.363,"While on a grand world tour, The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.",50000000,"['Walt Disney Pictures', 'Mandeville Films', 'The Muppets Studio']",80383290,107,Taking the world by farce,30383290
7730,7730,407451,A Wrinkle in Time,2018-03-08,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",English,5.1,1673,14.361,"After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.",103000000,"['Whitaker Entertainment', 'Walt Disney Pictures']",132675864,109,Be a warrior,29675864
7732,7732,31685,The Hunchback of Notre Dame,1939-12-29,"['Drama', 'Romance', 'Horror']",English,7.3,160,14.361,"Paris, France, 1482. Frollo, Chief Justice of benevolent King Louis XI, gets infatuated by the beauty of Esmeralda, a young Romani girl. The hunchback Quasimodo, Frollo's protege and bell-ringer o...",1800000,['RKO Radio Pictures'],6877900,117,Impact! Power! Fire! Pathos! Drama!,5077900
7735,7735,16110,Thomas and the Magic Railroad,2000-07-14,"['Animation', 'Drama', 'Family']",English,5.5,66,14.353,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas...",19000000,"['Isle of Man Film', 'Britt Allcroft Productions', 'Destination Films', 'Gullane Pictures']",19748009,84,Little Engines CAN Do Big Things...,748009
7741,7741,368940,Robinson Crusoe,2016-02-04,"['Animation', 'Adventure', 'Comedy', 'Family']",German,5.8,283,14.346,"On a tiny exotic island, Tuesday, an outgoing parrot lives with his quirky animal friends in paradise. However, Tuesday can't stop dreaming about discovering the world. After a violent storm, Tues...",13500000,"['uFilm', 'StudioCanal', 'nWave Pictures', 'Illuminata Pictures']",40075446,90,Just because you're stranded... doesn't mean you can't make some friends.,26575446
7742,7742,580600,Astro Kid,2019-04-03,"['Animation', 'Comedy', 'Adventure', 'Family']",French,7.2,169,14.345,"Upon the destruction of their ship, Willy is separated from his parents. He lands on a wild and unexplored planet and with the help of Buck, a survival robot, he will have to hold until the arriva...",5100000,"['Logical Pictures', 'TAT Productions', 'Bac Films', 'France 3 Cinéma', 'Master Films']",3123088,90,An out-of-this-world adventure,-1976912
7744,7744,4380,Shall We Dance?,2004-10-15,"['Drama', 'Romance', 'Comedy']",English,6.4,1085,14.344,"Upon first sight of a beautiful instructor, a bored and overworked estate lawyer signs up for ballroom dancing lessons.",50000000,['Miramax'],170128460,107,Step out of the ordinary.,120128460
7745,7745,56601,The Perfect Game,2009-11-09,"['Drama', 'Family']",English,6.9,115,14.342,"Based on a true story, a group of boys from Monterrey, Mexico who become the first non-U.S. team to win the Little League World Series.",12500000,"['HighRoad Entertainment', 'Prelude Pictures', 'Lone Runner Entertainment', 'Kenio Films', 'Perfect Game, The']",3878993,118,Dream for the fences.,-8621007
7746,7746,24264,Sheena,1984-08-17,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']",English,5.8,124,14.341,"Sheena's parents are killed while on Safari. She is raised by the mystical witch woman of an African tribe. When her foster mother is framed for the murder of a political leader, Sheena and a news...",25000000,"['Delphi II Productions', 'Colgems Productions Ltd.', 'Columbia Pictures']",5778353,117,Part animal. Part legend. All woman.,-19221647
7750,7750,4566,Michael Clayton,2007-10-12,"['Drama', 'Thriller', 'Mystery', 'Crime']",English,6.8,1493,14.338,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.",25000000,"['Castle Rock Entertainment', 'Mirage Enterprises', 'Section Eight', 'Samuels Media']",92991835,120,The truth can be adjusted.,67991835
7755,7755,37495,Four Lions,2010-05-07,"['Comedy', 'Crime', 'Drama']",English,7.0,996,14.335,A group of Muslim men living in Sheffield hatch an inept plan to become suicide bombers.,967686,"['Warp Films', 'Wild Bunch Distribution', 'Film4 Productions', 'Optimum Releasing']",4658570,97,We are four Lions.,3690884
7756,7756,3489,88 Minutes,2007-02-14,"['Crime', 'Mystery', 'Thriller']",English,5.8,957,14.335,"A college professor who moonlights as a forensic psychiatrist for the FBI, receives a death threat claiming he has only 88 minutes to live.",30000000,"['TriStar Pictures', 'Brightlight Pictures', 'Nu Image']",32593385,108,He has 88 minutes to solve a murder. His own.,2593385
